 irmovement | potentiometerstrength |         sensortime         
------------+-----------------------+----------------------------
          0 |                  2629 | 2017-10-30 04:14:48.486672
          0 |                  2630 | 2017-10-30 04:14:58.456133
          1 |                  2630 | 2017-10-30 04:15:08.457451
          0 |                  2629 | 2017-10-30 04:15:18.704843
          0 |                  2629 | 2017-10-30 04:15:28.507607
          1 |                  2631 | 2017-10-30 04:15:38.499514
          0 |                  2636 | 2017-10-30 04:15:48.617712
          1 |                  2630 | 2017-10-30 04:21:14.477186
          0 |                  2631 | 2017-10-30 04:21:44.221179
          0 |                  2629 | 2017-10-30 04:22:14.295823
          1 |                  2627 | 2017-10-30 04:22:44.240699
          1 |                  2629 | 2017-10-30 04:23:15.269127
          0 |                  3531 | 2017-10-30 04:23:44.39946
          0 |                  3528 | 2017-10-30 04:24:14.276534
          0 |                  3524 | 2017-10-30 04:24:44.241279
          1 |                  3529 | 2017-10-30 04:25:15.257408
          1 |                  3523 | 2017-10-30 04:25:44.246646
          0 |                  3523 | 2017-10-30 04:26:14.26078
          1 |                  3525 | 2017-10-30 04:26:44.244296
          0 |                  3523 | 2017-10-30 04:27:14.259037
          0 |                  3525 | 2017-10-30 04:27:44.262185
          1 |                  3526 | 2017-10-30 04:28:15.253028
          0 |                  3524 | 2017-10-30 04:28:44.240581
          0 |                  3523 | 2017-10-30 04:29:14.272102
          1 |                  3527 | 2017-10-30 04:29:44.252493
          0 |                  3524 | 2017-10-30 04:30:14.26986
          0 |                  3529 | 2017-10-30 04:30:44.286235
          1 |                  3528 | 2017-10-30 04:31:14.261553
          0 |                  3525 | 2017-10-30 04:31:44.266714
          0 |                  3523 | 2017-10-30 04:32:14.260858
          0 |                  3527 | 2017-10-30 04:32:44.27685
          1 |                  3525 | 2017-10-30 04:33:15.315838
          0 |                  3523 | 2017-10-30 04:33:44.278908
          1 |                  3525 | 2017-10-30 04:34:14.266934
          0 |                  3523 | 2017-10-30 04:34:44.299453
          0 |                  3523 | 2017-10-30 04:35:14.266498
(36 rows)

